date,type,breakdown,transaction_volume,transaction_nominal
1/7/2019,UE Non-Bank,Redeem,3460,6.10E+05
1/8/2019,UE Non-Bank,Redeem,7484,1.90E+05
1/9/2019,UE Non-Bank,Redeem,11325,9.00E+05
1/10/2019,UE Non-Bank,Redeem,6532,9.20E+05
1/11/2019,UE Non-Bank,Redeem,2248,0.00E+00
1/12/2019,UE Non-Bank,Redeem,16330,0.00E+00
1/1/2020,UE Non-Bank,Redeem,1018358,6.50E+07
1/2/2020,UE Non-Bank,Redeem,270766,5.24E+07
1/3/2020,UE Non-Bank,Redeem,97990,3.74E+07
1/4/2020,UE Non-Bank,Redeem,464680,8.09E+10
1/5/2020,UE Non-Bank,Redeem,437431,1.14E+11
1/6/2020,UE Non-Bank,Redeem,1028727,1.23E+11
1/7/2020,UE Non-Bank,Redeem,1199808,1.46E+11
1/8/2020,UE Non-Bank,Redeem,875802,1.59E+11
1/9/2020,UE Non-Bank,Redeem,786466,1.76E+11
1/10/2020,UE Non-Bank,Redeem,683436,2.09E+11
1/11/2020,UE Non-Bank,Redeem,747311,2.33E+11
1/12/2020,UE Non-Bank,Redeem,1156686,2.74E+11
1/1/2021,UE Non-Bank,Redeem,874176,2.95E+11
1/2/2021,UE Non-Bank,Redeem,810398,2.83E+11
1/3/2021,UE Non-Bank,Redeem,1042913,3.14E+11
1/4/2021,UE Non-Bank,Redeem,1362285,3.87E+11
1/5/2021,UE Non-Bank,Redeem,2072783,4.88E+11
1/6/2021,UE Non-Bank,Redeem,1767426,4.85E+11
1/7/2021,UE Non-Bank,Redeem,1287641,4.66E+11
1/8/2021,UE Non-Bank,Redeem,1279700,4.81E+11
1/9/2021,UE Non-Bank,Redeem,1447986,5.00E+11
1/10/2021,UE Non-Bank,Redeem,1420282,5.53E+11
1/11/2021,UE Non-Bank,Redeem,1710520,6.13E+11
1/12/2021,UE Non-Bank,Redeem,2313927,6.81E+11
1/1/2022,UE Non-Bank,Redeem,1305311,4.85E+11
1/2/2022,UE Non-Bank,Redeem,1200223,4.56E+11
1/3/2022,UE Non-Bank,Redeem,1549032,5.71E+11
1/4/2022,UE Non-Bank,Redeem,1953363,7.24E+11
1/5/2022,UE Non-Bank,Redeem,2008863,7.89E+11
1/6/2022,UE Non-Bank,Redeem,1916005,9.59E+11
1/7/2022,UE Non-Bank,Redeem,1993611,8.04E+11
1/8/2022,UE Non-Bank,Redeem,2174197,8.78E+11
1/9/2022,UE Non-Bank,Redeem,2239251,9.19E+11
1/10/2022,UE Non-Bank,Redeem,2430835,1.01E+12
1/11/2022,UE Non-Bank,Redeem,2425160,1.01E+12
1/12/2022,UE Non-Bank,Redeem,1805486,8.92E+11
1/1/2023,UE Non-Bank,Redeem,1607920,8.05E+11
1/2/2023,UE Non-Bank,Redeem,1477103,7.42E+11
1/3/2023,UE Non-Bank,Redeem,1682946,8.40E+11
1/4/2023,UE Non-Bank,Redeem,1882197,9.16E+11
1/5/2023,UE Non-Bank,Redeem,1640682,8.14E+11
1/6/2023,UE Non-Bank,Redeem,1643730,8.11E+11
1/7/2023,UE Non-Bank,Redeem,1800833,8.72E+11
1/8/2023,UE Non-Bank,Redeem,2006969,9.24E+11
1/9/2023,UE Non-Bank,Redeem,2129029,9.58E+11
1/1/2019,UE Non-Bank,Belanja,112633420,3.73E+12
1/2/2019,UE Non-Bank,Belanja,117703522,3.75E+12
1/3/2019,UE Non-Bank,Belanja,210732792,6.18E+12
1/4/2019,UE Non-Bank,Belanja,214335772,7.94E+12
1/5/2019,UE Non-Bank,Belanja,243608606,1.03E+13
1/6/2019,UE Non-Bank,Belanja,214711636,9.08E+12
