date,type,breakdown,transaction_volume,transaction_nominal
1/5/2020,UE Bank,Belanja,86244657,1.45E+12
1/6/2020,UE Bank,Belanja,125760648,2.02E+12
1/7/2020,UE Bank,Belanja,165127888,2.53E+12
1/8/2020,UE Bank,Belanja,156584827,2.55E+12
1/9/2020,UE Bank,Belanja,136183642,2.28E+12
1/10/2020,UE Bank,Belanja,147343165,2.50E+12
1/11/2020,UE Bank,Belanja,150178658,2.64E+12
1/12/2020,UE Bank,Belanja,155368630,2.77E+12
1/1/2021,UE Bank,Belanja,134814478,2.34E+12
1/2/2021,UE Bank,Belanja,118392506,2.14E+12
1/3/2021,UE Bank,Belanja,143897963,2.42E+12
1/4/2021,UE Bank,Belanja,142904603,2.47E+12
1/5/2021,UE Bank,Belanja,134497965,2.27E+12
1/6/2021,UE Bank,Belanja,139737566,2.47E+12
1/7/2021,UE Bank,Belanja,94170933,1.80E+12
1/8/2021,UE Bank,Belanja,114070275,2.12E+12
1/9/2021,UE Bank,Belanja,147845113,2.53E+12
1/10/2021,UE Bank,Belanja,165125407,2.88E+12
1/11/2021,UE Bank,Belanja,170985779,2.83E+12
1/12/2021,UE Bank,Belanja,198040891,3.18E+12
1/1/2022,UE Bank,Belanja,163254188,2.93E+12
1/2/2022,UE Bank,Belanja,127787252,2.36E+12
1/3/2022,UE Bank,Belanja,130027882,2.32E+12
1/4/2022,UE Bank,Belanja,169786502.7,3.45E+12
1/5/2022,UE Bank,Belanja,175484085.8,4.04E+12
1/6/2022,UE Bank,Belanja,179134649.3,3.57E+12
1/7/2022,UE Bank,Belanja,190566889,3.54E+12
1/8/2022,UE Bank,Belanja,185695601,3.23E+12
1/9/2022,UE Bank,Belanja,182227919,3.20E+12
1/10/2022,UE Bank,Belanja,193372214,3.40E+12
1/11/2022,UE Bank,Belanja,187289317,3.39E+12
1/12/2022,UE Bank,Belanja,204863923,3.74E+12
